"Fecha","Año","Trimestre","Mes","Consumo MW","Ratio"
"2014-01-01",2014,1,"January",372302,0.6296033301817268
"2014-01-02",2014,1,"January",425658,0.8673373755911575
"2014-01-03",2014,1,"January",475042,0.6900801846137147
"2014-01-04",2014,1,"January",433614,0.8816374797548594
"2014-01-05",2014,1,"January",379906,0.8774007312283172
"2014-01-06",2014,1,"January",460269,0.7143160058613303
"2014-01-07",2014,1,"January",535660,0.6875116860405217
"2014-01-08",2014,1,"January",483463,0.84522579320444
"2014-01-09",2014,1,"January",435548,0.7286734905739067
"2014-01-10",2014,1,"January",402684,0.7384953722213083
"2014-01-11",2014,1,"January",355443,0.8844272316341845
"2014-01-12",2014,1,"January",355702,0.8498318252321145
"2014-01-13",2014,1,"January",395789,0.8777334201047424
"2014-01-14",2014,1,"January",378674,0.65999552743606
"2014-01-15",2014,1,"January",411567,0.6862826891138845
"2014-01-16",2014,1,"January",436764,0.6844467435765658
"2014-01-17",2014,1,"January",420704,0.6589783109909328
"2014-01-18",2014,1,"January",433049,0.8091641048626212
"2014-01-19",2014,1,"January",391691,0.8835906291236829
"2014-01-20",2014,1,"January",406270,0.8026349862628537
"2014-01-21",2014,1,"January",453466,0.8555833488378544
"2014-01-22",2014,1,"January",507154,0.7540177282929619
"2014-01-23",2014,1,"January",506324,0.7981117074151074
"2014-01-24",2014,1,"January",528058,0.6874757189427338
"2014-01-25",2014,1,"January",464792,0.8831925165441006
"2014-01-26",2014,1,"January",436790,0.702683422914442
"2014-01-27",2014,1,"January",455700,0.6040460794397655
"2014-01-28",2014,1,"January",525861,0.8915041860642037
"2014-01-29",2014,1,"January",524931,0.8486099893363205
"2014-01-30",2014,1,"January",503694,0.8808400139768087
"2014-01-31",2014,1,"January",429725,0.7242248026484996
"2014-02-01",2014,1,"February",377661,0.6516531436249055
"2014-02-02",2014,1,"February",362157,0.6834915577437352
"2014-02-03",2014,1,"February",417573,0.6841595399878242
"2014-02-04",2014,1,"February",438750,0.7013012443784772
"2014-02-05",2014,1,"February",427050,0.6791942572803297
"2014-02-06",2014,1,"February",449436,0.8530360338088472
"2014-02-07",2014,1,"February",457320,0.6057486536154385
"2014-02-08",2014,1,"February",430908,0.8439424997985652
"2014-02-09",2014,1,"February",401049,0.6246795149806506
"2014-02-10",2014,1,"February",451888,0.7396766360639963
"2014-02-11",2014,1,"February",472805,0.6385900281778949
"2014-02-12",2014,1,"February",479723,0.6480207841502013
"2014-02-13",2014,1,"February",445593,0.817882640725149
"2014-02-14",2014,1,"February",419265,0.7017724203289842
"2014-02-15",2014,1,"February",407781,0.8529837741921209
"2014-02-16",2014,1,"February",408856,0.8928048350465491
"2014-02-17",2014,1,"February",441817,0.7827404692010871
"2014-02-18",2014,1,"February",398303,0.6072996713931538
"2014-02-19",2014,1,"February",371974,0.8489888212769183
"2014-02-20",2014,1,"February",382384,0.7121513337706331
"2014-02-21",2014,1,"February",364921,0.827294379654698
"2014-02-22",2014,1,"February",349374,0.8425433092260974
"2014-02-23",2014,1,"February",344695,0.783864354817922
"2014-02-24",2014,1,"February",406288,0.740696300868972
"2014-02-25",2014,1,"February",429633,0.7086317129983705
"2014-02-26",2014,1,"February",443258,0.6957883052466515
"2014-02-27",2014,1,"February",459755,0.674511195635616
"2014-02-28",2014,1,"February",451549,0.6350465107441907
"2014-03-01",2014,1,"March",385351,0.7728271408615875
"2014-03-02",2014,1,"March",375874,0.7160110952391282
"2014-03-03",2014,1,"March",452784,0.6749132299447688
"2014-03-04",2014,1,"March",462781,0.8699708894838281
"2014-03-05",2014,1,"March",429042,0.7698840938739817
"2014-03-06",2014,1,"March",420138,0.6465709442133039
"2014-03-07",2014,1,"March",391334,0.8285787912576241
"2014-03-08",2014,1,"March",352544,0.7095919182770779
"2014-03-09",2014,1,"March",324810,0.7639698396466932
"2014-03-10",2014,1,"March",368792,0.6641449405631543
"2014-03-11",2014,1,"March",331209,0.8737783060973854
"2014-03-12",2014,1,"March",369585,0.8832501611672008
"2014-03-13",2014,1,"March",423624,0.7211957531432817
"2014-03-14",2014,1,"March",381518,0.8056935377805625
"2014-03-15",2014,1,"March",318762,0.8500453974919997
"2014-03-16",2014,1,"March",359235,0.8244199788437617
"2014-03-17",2014,1,"March",416613,0.6539400995034671
"2014-03-18",2014,1,"March",388417,0.6536048577265103
"2014-03-19",2014,1,"March",366539,0.8754370964645033
"2014-03-20",2014,1,"March",365504,0.6182468529457011
"2014-03-21",2014,1,"March",354959,0.6254013631099928
"2014-03-22",2014,1,"March",315601,0.670992316568376
"2014-03-23",2014,1,"March",336336,0.6097909202936282
"2014-03-24",2014,1,"March",399394,0.7413814689472672
"2014-03-25",2014,1,"March",409380,0.7138639733439874
"2014-03-26",2014,1,"March",414591,0.7675165114310565
"2014-03-27",2014,1,"March",397808,0.7938079449259985
"2014-03-28",2014,1,"March",343892,0.8601515698775565
"2014-03-29",2014,1,"March",334129,0.6257903867615733
"2014-03-30",2014,1,"March",342863,0.8492045516712593
"2014-03-31",2014,1,"March",358102,0.6624317322114466
"2014-04-01",2014,2,"April",334777,0.8626908514252027
"2014-04-02",2014,2,"April",326442,0.7466999858307128
"2014-04-03",2014,2,"April",339615,0.6880789478354612
"2014-04-04",2014,2,"April",330673,0.8332272224931307
"2014-04-05",2014,2,"April",312012,0.7660678626309997
"2014-04-06",2014,2,"April",308456,0.8670480011373832
"2014-04-07",2014,2,"April",339729,0.7667865240871969
"2014-04-08",2014,2,"April",333652,0.8697596461966333
"2014-04-09",2014,2,"April",333073,0.6984149345202028
"2014-04-10",2014,2,"April",331928,0.7831043989465521
"2014-04-11",2014,2,"April",314550,0.798227322811237
"2014-04-12",2014,2,"April",290602,0.8199734365366442
"2014-04-13",2014,2,"April",282458,0.6560570517378878
"2014-04-14",2014,2,"April",320644,0.6728327922324815
