"Fecha"|"Año"|"Trimestre"|"Mes"|"Consumo MW"|"Ratio"
"2018-01-01"|2018|1|"January"|468324|0.839961295372312
"2018-01-02"|2018|1|"January"|502524|0.6431197778087595
"2018-01-03"|2018|1|"January"|496690|0.8714610538220124
"2018-01-04"|2018|1|"January"|491361|0.8189697642650089
"2018-01-05"|2018|1|"January"|508004|0.7917678092655575
"2018-01-06"|2018|1|"January"|500348|0.6091290895475832
"2018-01-07"|2018|1|"January"|475281|0.7217490061383991
"2018-01-08"|2018|1|"January"|437769|0.8882841284487246
"2018-01-09"|2018|1|"January"|400218|0.726177808398323
"2018-01-10"|2018|1|"January"|384672|0.8277872824492587
"2018-01-11"|2018|1|"January"|356455|0.8078279341664583
"2018-01-12"|2018|1|"January"|361633|0.6231502748137954
"2018-01-13"|2018|1|"January"|422123|0.7808653794254369
"2018-01-14"|2018|1|"January"|441362|0.7258342844516605
"2018-01-15"|2018|1|"January"|464372|0.7735370330098783
"2018-01-16"|2018|1|"January"|458549|0.7293370101857
"2018-01-17"|2018|1|"January"|487519|0.7101561359505391
"2018-01-18"|2018|1|"January"|481559|0.7595765827275117
"2018-01-19"|2018|1|"January"|434918|0.7223846365811368
"2018-01-20"|2018|1|"January"|367001|0.719572317653583
"2018-01-21"|2018|1|"January"|333898|0.8398123944691879
"2018-01-22"|2018|1|"January"|348234|0.8384224054948226
"2018-01-23"|2018|1|"January"|359953|0.709833320342653
"2018-01-24"|2018|1|"January"|397789|0.6745784517676949
"2018-01-25"|2018|1|"January"|403360|0.6968183067260703
"2018-01-26"|2018|1|"January"|390355|0.6234168736524789
"2018-01-27"|2018|1|"January"|348457|0.6105851035131911
"2018-01-28"|2018|1|"January"|326238|0.6791071644945215
"2018-01-29"|2018|1|"January"|387501|0.7141650334229352
"2018-01-30"|2018|1|"January"|431889|0.8007771267113262
"2018-01-31"|2018|1|"January"|422231|0.6608665853366255
"2018-02-01"|2018|1|"February"|392972|0.6329748160604423
"2018-02-02"|2018|1|"February"|443518|0.7106358922220226
"2018-02-03"|2018|1|"February"|426770|0.8304275258387637
"2018-02-04"|2018|1|"February"|380323|0.8757140958793382
"2018-02-05"|2018|1|"February"|426724|0.7370975360868086
"2018-02-06"|2018|1|"February"|421241|0.8455915292188221
"2018-02-07"|2018|1|"February"|418215|0.6695347775546545
"2018-02-08"|2018|1|"February"|424763|0.8412588658265969
"2018-02-09"|2018|1|"February"|404233|0.8545263947833055
"2018-02-10"|2018|1|"February"|357500|0.8487550423585863
"2018-02-11"|2018|1|"February"|337248|0.7710431121890042
"2018-02-12"|2018|1|"February"|384094|0.7820121705744295
"2018-02-13"|2018|1|"February"|397955|0.8464825573775071
"2018-02-14"|2018|1|"February"|369818|0.8249971819663549
"2018-02-15"|2018|1|"February"|335272|0.657209405342696
"2018-02-16"|2018|1|"February"|343395|0.603150497790828
"2018-02-17"|2018|1|"February"|365337|0.6833924262509737
"2018-02-18"|2018|1|"February"|334161|0.6341214585172474
"2018-02-19"|2018|1|"February"|348909|0.8681383719913889
"2018-02-20"|2018|1|"February"|324360|0.8078006982131456
"2018-02-21"|2018|1|"February"|325259|0.6309228065446789
"2018-02-22"|2018|1|"February"|345087|0.8456493454016616
"2018-02-23"|2018|1|"February"|325896|0.7853177125331685
"2018-02-24"|2018|1|"February"|303851|0.7893251420334298
"2018-02-25"|2018|1|"February"|295965|0.6110160728820219
"2018-02-26"|2018|1|"February"|340296|0.7686053978714378
"2018-02-27"|2018|1|"February"|354475|0.7301532510130918
"2018-02-28"|2018|1|"February"|338281|0.7986068674606459
"2018-03-01"|2018|1|"March"|344032|0.8379253014466417
"2018-03-02"|2018|1|"March"|367291|0.7563024446291855
"2018-03-03"|2018|1|"March"|349476|0.8375041102281013
"2018-03-04"|2018|1|"March"|340154|0.6863347572225763
"2018-03-05"|2018|1|"March"|373271|0.7292494434109533
"2018-03-06"|2018|1|"March"|360340|0.6861266911282298
"2018-03-07"|2018|1|"March"|382954|0.6042178611274406
"2018-03-08"|2018|1|"March"|404747|0.8202886759521743
"2018-03-09"|2018|1|"March"|397214|0.8919684860712251
"2018-03-10"|2018|1|"March"|355135|0.6143229446895492
"2018-03-11"|2018|1|"March"|328186|0.8907626655440695
"2018-03-12"|2018|1|"March"|390143|0.8580263367327208
"2018-03-13"|2018|1|"March"|400009|0.8333624799548691
"2018-03-14"|2018|1|"March"|410640|0.632629296822342
"2018-03-15"|2018|1|"March"|385679|0.8457960999321068
"2018-03-16"|2018|1|"March"|372149|0.7066859600660008
"2018-03-17"|2018|1|"March"|350281|0.8198656366043704
"2018-03-18"|2018|1|"March"|315263|0.8200732957161448
"2018-03-19"|2018|1|"March"|347276|0.7145747142304448
"2018-03-20"|2018|1|"March"|369195|0.6338385832757838
"2018-03-21"|2018|1|"March"|398255|0.6909215179498213
"2018-03-22"|2018|1|"March"|387598|0.6249534295740369
"2018-03-23"|2018|1|"March"|376075|0.7791138064465793
"2018-03-24"|2018|1|"March"|368372|0.6384896825822411
"2018-03-25"|2018|1|"March"|340822|0.8282057263589284
"2018-03-26"|2018|1|"March"|361411|0.7472172173837063
"2018-03-27"|2018|1|"March"|355959|0.8881565156062011
"2018-03-28"|2018|1|"March"|336093|0.6686235652398489
"2018-03-29"|2018|1|"March"|329962|0.6743111381016069
"2018-03-30"|2018|1|"March"|315710|0.8893554550431091
"2018-03-31"|2018|1|"March"|314954|0.6643027045644262
"2018-04-01"|2018|2|"April"|293306|0.8470822202179886
"2018-04-02"|2018|2|"April"|340887|0.7773768336586615
"2018-04-03"|2018|2|"April"|338604|0.6197810777757351
"2018-04-04"|2018|2|"April"|344124|0.6861378752270513
"2018-04-05"|2018|2|"April"|362570|0.872444277287497
"2018-04-06"|2018|2|"April"|343354|0.7107169755038757
"2018-04-07"|2018|2|"April"|343202|0.611208117540776
"2018-04-08"|2018|2|"April"|339525|0.745362084889397
"2018-04-09"|2018|2|"April"|373844|0.694903877817834
"2018-04-10"|2018|2|"April"|361992|0.6674497406478663
"2018-04-11"|2018|2|"April"|339926|0.6540305676835653
"2018-04-12"|2018|2|"April"|326132|0.8789188413409958
"2018-04-13"|2018|2|"April"|313577|0.66714960033602
"2018-04-14"|2018|2|"April"|294034|0.7301261961849985
"2018-04-15"|2018|2|"April"|294163|0.7447013112884827
"2018-04-16"|2018|2|"April"|355899|0.6761240169692607
"2018-04-17"|2018|2|"April"|379252|0.8702433603810683
"2018-04-18"|2018|2|"April"|347182|0.8153592340724148
"2018-04-19"|2018|2|"April"|340972|0.7491110193570065
"2018-04-20"|2018|2|"April"|342226|0.7607947460993474
"2018-04-21"|2018|2|"April"|309700|0.8144993114760062
"2018-04-22"|2018|2|"April"|286784|0.6934524667935174
"2018-04-23"|2018|2|"April"|315207|0.7409670545737016
"2018-04-24"|2018|2|"April"|281370|0.7483783279219521
"2018-04-25"|2018|2|"April"|317392|0.7153627606285267
"2018-04-26"|2018|2|"April"|315787|0.6830291196686881
"2018-04-27"|2018|2|"April"|311136|0.8151723940711881
"2018-04-28"|2018|2|"April"|293702|0.8780811663014836
"2018-04-29"|2018|2|"April"|291763|0.7442890625974872
"2018-04-30"|2018|2|"April"|322644|0.6206609600463828
"2018-05-01"|2018|2|"May"|318045|0.6762045086092136
